,k,a,b,d,C,Vr,Vt,Vpeak,Vmin
DG Granule,0.45,0.003,24.48,50,38,-77.4,-44.9,15.49,-66.47
DG Hilar Ectopic Granule,2.9,0.006,6.17,186,483,-70.37,-55.22,-37.82,-62.23
DG Semilunar Granule,0.94,0,-77.49,182,910,-78.38,-58.4,2.61,-62.9
DG Mossy,1.5,0.004,-20.84,117,258,-63.67,-37.11,28.29,-47.98
DG Mossy MOLDEN,,,,,,,,,
DG AIPRIM,0.51,0.002,0.2,6,40,-63.39,-40.19,7.37,-53.34
DG Axo-axonic,1.52,0.049,12.27,-6,77,-65.25,-54.35,5.07,-64.47
DG Basket,0.81,0.097,1.89,553,208,-61.02,-37.84,14.08,-36.23
DG Basket CCK+,,,,,,,,,
DG HICAP,0.5,0.039,-1.62,49,61,-61.28,-35.36,38.79,-60.77
DG HIPP,1.28,0.006,57.94,-58,74,-59.01,-50.53,0.57,-56.98
DG HIPROM,2.16,0.001,-21.24,28,510,-65.4,-45.28,-9.92,-49.31
DG MOCAP,,,,,,,,,
DG MOLAX,0.92,0.001,-3.12,8,236,-54.91,-41.69,-11.61,-48.73
DG Outer Molecular Layer,,,,,,,,,
DG Total Molecular Layer,0.92,0.001,-3.12,8,236,-54.91,-41.69,-11.61,-48.73
DG MOPP,0.67,0.002,-32.42,163,250,-74.67,-6.83,17.03,-42.93
DG Neurogliaform,0.67,0.002,-32.42,163,250,-74.67,-6.83,17.03,-42.93
CA3 Pyramidal,0.79,0.008,-42.55,588,366,-63.2,-33.6,35.86,-38.87
CA3c Pyramidal,3.01,0.002,19.36,104,244,-62.29,-45.27,17.43,-47.37
CA3 Giant,0.61,0.004,1.84,2,96,-57.58,-37.12,36.42,-49.45
CA3 Granule,2.25,0.053,1.54,443,241,-78.04,-64.88,-7.73,-68.01
CA3 Axo-axonic,3.96,0.005,8.68,15,165,-57.1,-51.72,27.8,-73.97
CA3 Horizontal Axo-axonic,0.63,0.002,-16.44,21,154,-58.52,-33.5,36.09,-38.5
CA3 Basket,1,0.004,9.26,-6,45,-57.51,-23.38,18.45,-47.56
CA3 Basket CCK+,0.58,0.006,-1.24,54,135,-59,-39.4,18.27,-42.77
CA3 Bistratified,,,,,,,,,
CA3 Ivy,,,,,,,,,
CA3 LMR-Targeting,1.1,0.001,-61.26,43,54,-67.73,-24.09,10.38,-42.74
CA3 Lucidum LAX,,,,,,,,,
CA3 Lucidum ORAX,1.03,0.042,-5.07,68,67,-60.02,-47.97,11.09,-59.38
CA3 Lucidum-Radiatum,,,,,,,,,
CA3 Spiny Lucidum,3.13,0.003,10.12,18,590,-69.59,-52.97,34.3,-58.62
